"b0","b1","logL"
0.52,-0.98,-12.9217934909835
0.53,-0.98,-12.9328499998528
0.54,-0.98,-12.9442571674845
0.55,-0.98,-12.9560153675778
0.56,-0.98,-12.9681249652573
0.57,-0.98,-12.9805863170978
0.58,-0.98,-12.9933997711503
0.59,-0.98,-13.0065656669694
0.6,-0.98,-13.0200843356418
0.61,-0.98,-13.0339560998153
0.62,-0.98,-13.04818127373
0.63,-0.98,-13.0627601632495
0.64,-0.98,-13.0776930658941
0.65,-0.98,-13.0929802708745
0.66,-0.98,-13.1086220591268
0.67,-0.98,-13.124618703348
0.68,-0.98,-13.1409704680336
0.69,-0.98,-13.157677609515
0.7,-0.98,-13.1747403759986
0.71,-0.98,-13.1921590076054
0.72,-0.98,-13.2099337364121
0.73,-0.98,-13.2280647864925
0.74,-0.98,-13.24655237396
0.75,-0.98,-13.2653967070112
0.76,-0.98,-13.2845979859698
0.77,-0.98,-13.304156403332
0.78,-0.98,-13.3240721438121
0.79,-0.98,-13.3443453843895
0.8,-0.98,-13.3649762943555
0.81,-0.98,-13.3859650353618
0.82,-0.98,-13.4073117614693
0.83,-0.98,-13.4290166191973
0.84,-0.98,-13.4510797475743
0.85,-0.98,-13.4735012781879
0.86,-0.98,-13.4962813352372
0.87,-0.98,-13.5194200355838
0.88,-0.98,-13.5429174888053
0.89,-0.98,-13.5667737972479
0.9,-0.98,-13.59098905608
0.91,-0.98,-13.6155633533467
0.92,-0.98,-13.6404967700241
0.93,-0.98,-13.6657893800745
0.94,-0.98,-13.6914412505018
0.95,-0.98,-13.7174524414075
0.96,-0.98,-13.743823006047
0.97,-0.98,-13.7705529908858
0.98,-0.98,-13.7976424356571
0.99,-0.98,-13.8250913734183
1,-0.98,-13.8528998306091
-1,-0.97,-14.856002393374
-0.99,-0.97,-14.8229301186309
-0.98,-0.97,-14.790068643285
-0.97,-0.97,-14.7574191827066
-0.96,-0.97,-14.7249829530609
-0.95,-0.97,-14.69276117122
-0.94,-0.97,-14.6607550546742
-0.93,-0.97,-14.6289658214422
-0.92,-0.97,-14.5973946899807
-0.91,-0.97,-14.5660428790938
-0.9,-0.97,-14.534911607841
-0.89,-0.97,-14.5040020954453
-0.88,-0.97,-14.4733155612002
-0.87,-0.97,-14.4428532243764
-0.86,-0.97,-14.4126163041277
-0.85,-0.97,-14.3826060193967
-0.84,-0.97,-14.3528235888193
-0.83,-0.97,-14.3232702306294
-0.82,-0.97,-14.2939471625629
